시공ID,작업ID,단계,공사가 해야할 일,확인포인트,산출물
C-TEMP-FENCE-001-01,TEMP-FENCE-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-TEMP-FENCE-001-02,TEMP-FENCE-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-TEMP-FENCE-001-03,TEMP-FENCE-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-TEMP-OFFICE-001-01,TEMP-OFFICE-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-TEMP-OFFICE-001-02,TEMP-OFFICE-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-TEMP-OFFICE-001-03,TEMP-OFFICE-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-TEMP-ELEC-001-01,TEMP-ELEC-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-TEMP-ELEC-001-02,TEMP-ELEC-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-TEMP-ELEC-001-03,TEMP-ELEC-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-TEMP-WATER-001-01,TEMP-WATER-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-TEMP-WATER-001-02,TEMP-WATER-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-TEMP-WATER-001-03,TEMP-WATER-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-TEMP-SCAFF-001-01,TEMP-SCAFF-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-TEMP-SCAFF-001-02,TEMP-SCAFF-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-TEMP-SCAFF-001-03,TEMP-SCAFF-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-TEMP-SCAFF-002-01,TEMP-SCAFF-002,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-TEMP-SCAFF-002-02,TEMP-SCAFF-002,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-TEMP-SCAFF-002-03,TEMP-SCAFF-002,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-TEMP-DECK-001-01,TEMP-DECK-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-TEMP-DECK-001-02,TEMP-DECK-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-TEMP-DECK-001-03,TEMP-DECK-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-TEMP-NET-001-01,TEMP-NET-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-TEMP-NET-001-02,TEMP-NET-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-TEMP-NET-001-03,TEMP-NET-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-EARTH-CLEAR-001-01,EARTH-CLEAR-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-EARTH-CLEAR-001-02,EARTH-CLEAR-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-EARTH-CLEAR-001-03,EARTH-CLEAR-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-EARTH-EXC-001-01,EARTH-EXC-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-EARTH-EXC-001-02,EARTH-EXC-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-EARTH-EXC-001-03,EARTH-EXC-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-EARTH-EXC-002-01,EARTH-EXC-002,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-EARTH-EXC-002-02,EARTH-EXC-002,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-EARTH-EXC-002-03,EARTH-EXC-002,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-EARTH-ROCK-001-01,EARTH-ROCK-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-EARTH-ROCK-001-02,EARTH-ROCK-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-EARTH-ROCK-001-03,EARTH-ROCK-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-EARTH-HAUL-001-01,EARTH-HAUL-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-EARTH-HAUL-001-02,EARTH-HAUL-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-EARTH-HAUL-001-03,EARTH-HAUL-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-EARTH-BACK-001-01,EARTH-BACK-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-EARTH-BACK-001-02,EARTH-BACK-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-EARTH-BACK-001-03,EARTH-BACK-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-EARTH-COMP-001-01,EARTH-COMP-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-EARTH-COMP-001-02,EARTH-COMP-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-EARTH-COMP-001-03,EARTH-COMP-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-PILE-PHC-001-01,PILE-PHC-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-PILE-PHC-001-02,PILE-PHC-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-PILE-PHC-001-03,PILE-PHC-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-PILE-DRILL-001-01,PILE-DRILL-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-PILE-DRILL-001-02,PILE-DRILL-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-PILE-DRILL-001-03,PILE-DRILL-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-PILE-DRIVE-001-01,PILE-DRIVE-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-PILE-DRIVE-001-02,PILE-DRIVE-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-PILE-DRIVE-001-03,PILE-DRIVE-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-PILE-CUT-001-01,PILE-CUT-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-PILE-CUT-001-02,PILE-CUT-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-PILE-CUT-001-03,PILE-CUT-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-PILE-GROUT-001-01,PILE-GROUT-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-PILE-GROUT-001-02,PILE-GROUT-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-PILE-GROUT-001-03,PILE-GROUT-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-RC-FORM-001-01,RC-FORM-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-RC-FORM-001-02,RC-FORM-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-RC-FORM-001-03,RC-FORM-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-RC-FORM-002-01,RC-FORM-002,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-RC-FORM-002-02,RC-FORM-002,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-RC-FORM-002-03,RC-FORM-002,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-RC-FORM-003-01,RC-FORM-003,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-RC-FORM-003-02,RC-FORM-003,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-RC-FORM-003-03,RC-FORM-003,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-RC-FORM-004-01,RC-FORM-004,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-RC-FORM-004-02,RC-FORM-004,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-RC-FORM-004-03,RC-FORM-004,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-RC-REBAR-001-01,RC-REBAR-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-RC-REBAR-001-02,RC-REBAR-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-RC-REBAR-001-03,RC-REBAR-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-RC-REBAR-002-01,RC-REBAR-002,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-RC-REBAR-002-02,RC-REBAR-002,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-RC-REBAR-002-03,RC-REBAR-002,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-RC-REBAR-003-01,RC-REBAR-003,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-RC-REBAR-003-02,RC-REBAR-003,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-RC-REBAR-003-03,RC-REBAR-003,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-RC-REBAR-004-01,RC-REBAR-004,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-RC-REBAR-004-02,RC-REBAR-004,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-RC-REBAR-004-03,RC-REBAR-004,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-RC-CONC-001-01,RC-CONC-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-RC-CONC-001-02,RC-CONC-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-RC-CONC-001-03,RC-CONC-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-RC-CONC-002-01,RC-CONC-002,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-RC-CONC-002-02,RC-CONC-002,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-RC-CONC-002-03,RC-CONC-002,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-RC-CONC-003-01,RC-CONC-003,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-RC-CONC-003-02,RC-CONC-003,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-RC-CONC-003-03,RC-CONC-003,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-RC-CURE-001-01,RC-CURE-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-RC-CURE-001-02,RC-CURE-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-RC-CURE-001-03,RC-CURE-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-RC-TEST-001-01,RC-TEST-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-RC-TEST-001-02,RC-TEST-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-RC-TEST-001-03,RC-TEST-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-STEEL-ANCHOR-001-01,STEEL-ANCHOR-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-STEEL-ANCHOR-001-02,STEEL-ANCHOR-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-STEEL-ANCHOR-001-03,STEEL-ANCHOR-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-STEEL-ERECT-001-01,STEEL-ERECT-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-STEEL-ERECT-001-02,STEEL-ERECT-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-STEEL-ERECT-001-03,STEEL-ERECT-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-STEEL-BOLT-001-01,STEEL-BOLT-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-STEEL-BOLT-001-02,STEEL-BOLT-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-STEEL-BOLT-001-03,STEEL-BOLT-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-STEEL-WELD-001-01,STEEL-WELD-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-STEEL-WELD-001-02,STEEL-WELD-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-STEEL-WELD-001-03,STEEL-WELD-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-STEEL-DECK-001-01,STEEL-DECK-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-STEEL-DECK-001-02,STEEL-DECK-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-STEEL-DECK-001-03,STEEL-DECK-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-STEEL-FIRE-001-01,STEEL-FIRE-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-STEEL-FIRE-001-02,STEEL-FIRE-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-STEEL-FIRE-001-03,STEEL-FIRE-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-MASON-BRICK-001-01,MASON-BRICK-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-MASON-BRICK-001-02,MASON-BRICK-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-MASON-BRICK-001-03,MASON-BRICK-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
