작업ID,대공종,중공종,세부작업,공정순서,주요시기,기본위험도,검색키워드,비고
TEMP-FENCE-001,가설공사,가설시설,가설울타리 설치,1,착공초기,보통,가설공사 가설시설 가설울타리 설치,웹앱 검색용 기본 작업 단위
TEMP-OFFICE-001,가설공사,가설시설,현장사무실·창고 설치,2,착공초기,보통,가설공사 가설시설 현장사무실·창고 설치,웹앱 검색용 기본 작업 단위
TEMP-ELEC-001,가설공사,가설전기,가설분전반·임시전기 설치,3,착공초기,위험,가설공사 가설전기 가설분전반·임시전기 설치,웹앱 검색용 기본 작업 단위
TEMP-WATER-001,가설공사,가설급배수,가설급수·배수 설치,4,착공초기,보통,가설공사 가설급배수 가설급수·배수 설치,웹앱 검색용 기본 작업 단위
TEMP-SCAFF-001,가설공사,비계공사,강관비계 설치,5,골조/마감,매우위험,가설공사 비계공사 강관비계 설치,웹앱 검색용 기본 작업 단위
TEMP-SCAFF-002,가설공사,비계공사,시스템비계 설치,6,골조/마감,매우위험,가설공사 비계공사 시스템비계 설치,웹앱 검색용 기본 작업 단위
TEMP-DECK-001,가설공사,작업발판,작업발판·안전난간 설치,7,전공정,매우위험,가설공사 작업발판 작업발판·안전난간 설치,웹앱 검색용 기본 작업 단위
TEMP-NET-001,가설공사,추락방호,낙하물방지망·추락방호망 설치,8,전공정,매우위험,가설공사 추락방호 낙하물방지망·추락방호망 설치,웹앱 검색용 기본 작업 단위
EARTH-CLEAR-001,토공사,벌개제근,수목·표토 제거,10,착공초기,보통,토공사 벌개제근 수목·표토 제거,웹앱 검색용 기본 작업 단위
EARTH-EXC-001,토공사,굴착공사,일반 터파기,11,기초,위험,토공사 굴착공사 일반 터파기,웹앱 검색용 기본 작업 단위
EARTH-EXC-002,토공사,굴착공사,흙막이 굴착,12,기초,매우위험,토공사 굴착공사 흙막이 굴착,웹앱 검색용 기본 작업 단위
EARTH-ROCK-001,토공사,굴착공사,암반굴착·브레이커 작업,13,기초,위험,토공사 굴착공사 암반굴착·브레이커 작업,웹앱 검색용 기본 작업 단위
EARTH-HAUL-001,토공사,토사운반,덤프트럭 상차·운반,14,기초,위험,토공사 토사운반 덤프트럭 상차·운반,웹앱 검색용 기본 작업 단위
EARTH-BACK-001,토공사,되메우기,구조물 주변 되메우기,15,기초,보통,토공사 되메우기 구조물 주변 되메우기,웹앱 검색용 기본 작업 단위
EARTH-COMP-001,토공사,다짐공사,층다짐·평판재하시험 준비,16,기초,보통,토공사 다짐공사 층다짐·평판재하시험 준비,웹앱 검색용 기본 작업 단위
PILE-PHC-001,지정공사,파일공사,PHC파일 반입·적재,20,기초,위험,지정공사 파일공사 PHC파일 반입·적재,웹앱 검색용 기본 작업 단위
PILE-DRILL-001,지정공사,파일공사,파일 천공,21,기초,매우위험,지정공사 파일공사 파일 천공,웹앱 검색용 기본 작업 단위
PILE-DRIVE-001,지정공사,파일공사,파일 항타,22,기초,매우위험,지정공사 파일공사 파일 항타,웹앱 검색용 기본 작업 단위
PILE-CUT-001,지정공사,파일공사,파일 두부 컷팅,23,기초,위험,지정공사 파일공사 파일 두부 컷팅,웹앱 검색용 기본 작업 단위
PILE-GROUT-001,지정공사,지반보강,그라우팅,24,기초,보통,지정공사 지반보강 그라우팅,웹앱 검색용 기본 작업 단위
RC-FORM-001,철근콘크리트공사,거푸집공사,기초 거푸집 설치,30,골조,위험,철근콘크리트공사 거푸집공사 기초 거푸집 설치,웹앱 검색용 기본 작업 단위
RC-FORM-002,철근콘크리트공사,거푸집공사,벽체·기둥 거푸집 설치,31,골조,매우위험,철근콘크리트공사 거푸집공사 벽체·기둥 거푸집 설치,웹앱 검색용 기본 작업 단위
RC-FORM-003,철근콘크리트공사,거푸집공사,보·슬래브 거푸집 및 동바리 설치,32,골조,매우위험,철근콘크리트공사 거푸집공사 보·슬래브 거푸집 및 동바리 설치,웹앱 검색용 기본 작업 단위
RC-FORM-004,철근콘크리트공사,거푸집공사,거푸집·동바리 해체,33,골조,매우위험,철근콘크리트공사 거푸집공사 거푸집·동바리 해체,웹앱 검색용 기본 작업 단위
RC-REBAR-001,철근콘크리트공사,철근공사,기초 철근 배근,34,골조,위험,철근콘크리트공사 철근공사 기초 철근 배근,웹앱 검색용 기본 작업 단위
RC-REBAR-002,철근콘크리트공사,철근공사,기둥·벽체 철근 배근,35,골조,위험,철근콘크리트공사 철근공사 기둥·벽체 철근 배근,웹앱 검색용 기본 작업 단위
RC-REBAR-003,철근콘크리트공사,철근공사,보·슬래브 철근 배근,36,골조,위험,철근콘크리트공사 철근공사 보·슬래브 철근 배근,웹앱 검색용 기본 작업 단위
RC-REBAR-004,철근콘크리트공사,철근공사,철근 절단·절곡,37,골조,위험,철근콘크리트공사 철근공사 철근 절단·절곡,웹앱 검색용 기본 작업 단위
RC-CONC-001,철근콘크리트공사,콘크리트공사,기초 콘크리트 타설,38,골조,위험,철근콘크리트공사 콘크리트공사 기초 콘크리트 타설,웹앱 검색용 기본 작업 단위
RC-CONC-002,철근콘크리트공사,콘크리트공사,벽체·기둥 콘크리트 타설,39,골조,매우위험,철근콘크리트공사 콘크리트공사 벽체·기둥 콘크리트 타설,웹앱 검색용 기본 작업 단위
